Sci_C4_Y4_M2_L2: {'room': 'CB4.6', 'time': 'THU10:15'}
Sci_C4_Y4_M2_L3: {'room': 'CB4.6', 'time': 'THU11:15'}
Sci_C1_Y2_M5_L1: {'room': 'CB4.16', 'time': 'WED13:15'}
Sci_C1_Y2_M5_L2: {'room': 'CB4.16', 'time': 'THU10:15'}
Sci_C1_Y2_M5_L3: {'room': 'CB4.16', 'time': 'THU11:15'}
Sci_C4_Y4_M3_L1: {'room': 'CB4.6', 'time': 'THU12:15'}
Sci_C4_Y4_M3_L2: {'room': 'CB4.6', 'time': 'THU13:15'}
Sci_C4_Y4_M3_L3: {'room': 'CB4.6', 'time': 'THU14:15'}
Sci_C3_Y2_M1_L1: {'room': 'CB5.1', 'time': 'WED13:15'}
Sci_C3_Y2_M1_L2: {'room': 'CB5.1', 'time': 'THU10:15'}
Sci_C3_Y2_M1_L3: {'room': 'CB5.1', 'time': 'THU11:15'}
Sci_C4_Y1_M1_L1: {'room': 'CB4.1', 'time': 'WED13:15'}
Sci_C4_Y1_M1_L2: {'room': 'CB4.1', 'time': 'THU10:15'}
Sci_C4_Y1_M1_L3: {'room': 'CB4.1', 'time': 'THU11:15'}
Eng_C2_Y4_M2_L1: {'room': 'CB3.1', 'time': 'WED13:15'}
Eng_C2_Y4_M2_L2: {'room': 'CB3.1', 'time': 'THU10:15'}
Eng_C2_Y4_M2_L3: {'room': 'CB3.1', 'time': 'THU11:15'}
Hum_C3_Y2_M1_L1: {'room': 'CB3.9', 'time': 'WED13:15'}
Hum_C3_Y2_M1_L2: {'room': 'CB3.9', 'time': 'THU10:15'}
Hum_C3_Y2_M1_L3: {'room': 'CB3.9', 'time': 'THU11:15'}
Hum_C2_Y4_M3_L1: {'room': 'CB3.5', 'time': 'WED13:15'}
Hum_C2_Y4_M3_L2: {'room': 'CB3.5', 'time': 'THU10:15'}
Hum_C2_Y4_M3_L3: {'room': 'CB3.5', 'time': 'THU11:15'}
Hum_C2_Y2_M4_L1: {'room': 'CB5.13', 'time': 'WED13:15'}
Hum_C2_Y2_M4_L2: {'room': 'CB5.13', 'time': 'THU10:15'}
Hum_C2_Y2_M4_L3: {'room': 'CB5.13', 'time': 'THU11:15'}
Hum_C2_Y4_M1_L1: {'room': 'CB4.16', 'time': 'THU12:15'}
Hum_C2_Y4_M1_L2: {'room': 'CB4.16', 'time': 'THU13:15'}
Hum_C2_Y4_M1_L3: {'room': 'CB4.16', 'time': 'THU14:15'}
Hum_C1_Y4_M1_L1: {'room': 'CB4.17', 'time': 'WED13:15'}
Hum_C1_Y4_M1_L2: {'room': 'CB4.17', 'time': 'THU10:15'}
Hum_C1_Y4_M1_L3: {'room': 'CB4.17', 'time': 'THU11:15'}
Sci_C2_Y4_M3_L1: {'room': 'CB2.6', 'time': 'WED13:15'}
